电影名称（中文）,电影名称（英文）,排名,年份,评分,导演,主要演员,类型,国家/地区,语言,时长,热门评论
摔跤吧！爸爸,Dangal,No.36,2016,9.0,涅提·蒂瓦里,阿米尔·汗 / 法缇玛·萨那·纱卡 / 桑亚·玛荷塔 / 阿帕尔夏克提·库拉那 / 沙克希·坦沃 / 塞伊拉·沃西 / 苏哈妮·巴特纳格尔 / 里特维克·萨霍里 / 吉里什·库卡尼,剧情/家庭/传记/运动, 印度, 印地语 / 英语,161分钟(印度),这么好的一部电影。。弄得这踏马什么破译名。。听起来像儿童片似的。。
海上钢琴师,La leggenda del pianista sull'oceano,No.13,1998,9.3,朱塞佩·托纳多雷,蒂姆·罗斯 / 普路特·泰勒·文斯 / 比尔·努恩 / 克兰伦斯·威廉姆斯三世 / 梅兰尼·蒂埃里 / 皮特·沃恩 / 尼尔·奥布赖恩 / 阿尔贝托·巴斯克斯 / 加布里埃莱·拉维亚 / 科里·巴克 / 西德尼·科尔 / Luigi De Luca / 尼古拉·迪·平托 / 费米·依鲁福祖 / 伊斯顿·盖奇 / 凯文·麦克纳利 / 布莱恩·普林格 / 沙拉·鲁宾 / 希思科特·威廉姆斯 / 阿妮妲·扎格利亚 / 安吉洛·迪洛雷塔,剧情/音乐, 意大利, 英语 / 法语 / 意大利语,165分钟,某一天我突然明白，他不能离开的不是那艘船，而是那片养育他的精神家园
大话西游之月光宝盒,西遊記第壹佰零壹回之月光寶盒,No.43,1995,9.0,刘镇伟,周星驰 / 吴孟达 / 罗家英 / 蓝洁瑛 / 莫文蔚 / 江约诚 / 陆树铭 / 刘镇伟 / 朱茵 / 李健仁,喜剧/爱情/奇幻/古装, 中国香港 / 中国大陆, 粤语 / 汉语普通话,87分钟,大话西游是一代人心中的经典.
大话西游之大圣娶亲,西遊記大結局之仙履奇緣,No.19,1995,9.2,刘镇伟,周星驰 / 吴孟达 / 朱茵 / 蔡少芬 / 蓝洁瑛 / 莫文蔚 / 罗家英 / 刘镇伟 / 陆树铭 / 李健仁,喜剧/爱情/奇幻/古装, 中国香港 / 中国大陆, 粤语 / 汉语普通话,95分钟,我猜中了开头，却猜不到这结局。/ 20141024 在影院哭死
楚门的世界,The Truman Show,No.12,1998,9.3,彼得·威尔,金·凯瑞 / 劳拉·琳妮 / 艾德·哈里斯 / 诺亚·艾默里奇 / 娜塔莎·麦克艾霍恩,剧情/科幻, 美国, 英语,103分钟,"那个导演好恶心，那群观众更恶心，反乌托邦就是要反这班偷窥成狂的上帝。自由的意志是不能任人摆布的，如果我是楚门，但愿你永远不要让我发现真相，不然我将诅咒你们所有人——FUCK OFF, SCREW YOU ALL!"
这个杀手不太冷,Léon,No.5,1994,9.4,吕克·贝松,让·雷诺 / 娜塔莉·波特曼 / 加里·奥德曼 / 丹尼·爱罗 / 彼得·阿佩尔 / 迈克尔·巴达鲁科 / 艾伦·格里尼 / 伊丽莎白·瑞根 / 卡尔·马图斯维奇 / 弗兰克·赛格 / 麦温 / 乔治·马丁 / 罗伯特·拉萨多 / 亚当·布斯奇 / 马里奥·托迪斯科 / 萨米·纳塞利,剧情/动作/犯罪, 法国 / 美国, 英语 / 意大利语 / 法语,110分钟(剧场版),她对Leon说，自从遇见你后，我的胃，再也不痛了……
千与千寻,千と千尋の神隠し,No.7,2001,9.4,宫崎骏,柊瑠美 / 入野自由 / 夏木真理 / 菅原文太 / 中村彰男 / 玉井夕海 / 神木隆之介 / 内藤刚志 / 泽口靖子 / 我修院达也 / 大泉洋 / 小林郁夫 / 上条恒彦 / 小野武彦,剧情/动画/奇幻, 日本, 日语,125分钟,不努力工作会变成猪
美丽人生,La vita è bella,No.6,1997,9.6,罗伯托·贝尼尼,罗伯托·贝尼尼 / 尼可莱塔·布拉斯基 / 乔治·坎塔里尼 / 朱斯蒂诺·杜拉诺 / 赛尔乔·比尼·布斯特里克 / 玛丽萨·帕雷德斯 / 霍斯特·布赫霍尔茨 / 利迪娅·阿方西 / 朱利亚娜·洛约迪切 / 亚美利哥·丰塔尼 / 彼得·德·席尔瓦 / 弗朗西斯·古佐 / 拉法埃拉·莱博罗尼 / 克劳迪奥·阿方西 / 吉尔·巴罗尼 / 马西莫·比安奇 / 恩尼奥·孔萨尔维 / 吉安卡尔洛·科森蒂诺 / 阿伦·克雷格 / 汉尼斯·赫尔曼 / 弗兰科·梅斯科利尼 / 安东尼奥·普雷斯特 / 吉娜·诺维勒 / 理查德·塞梅尔 / 安德烈提多娜 / 迪尔克·范登贝格 / 奥梅罗·安东努蒂,剧情/喜剧/爱情/战争, 意大利, 意大利语 / 德语 / 英语,116分钟,如果谎言可以这样美丽，我也情愿生活在谎言之中
无间道,無間道,No.17,2002,9.3,刘伟强 / 麦兆辉,刘德华 / 梁朝伟 / 黄秋生 / 曾志伟 / 郑秀文 / 陈慧琳 / 陈冠希 / 余文乐 / 杜汶泽 / 林家栋 / 萧亚轩,剧情/惊悚/犯罪, 中国香港, 粤语,101分钟,我还是不能理解为什么美国人可以这么无耻直接拿本子过去拍出烂片还得了奥斯卡但是不给这部片子正名?
当幸福来敲门,The Pursuit of Happyness,No.22,2006,9.2,加布里埃莱·穆奇诺,威尔·史密斯 / 贾登·史密斯 / 坦迪·牛顿 / 布莱恩·豪威  / 詹姆斯·凯伦 / 丹·卡斯泰兰尼塔 / 柯特·富勒 / 塔卡尤·费舍尔 / 凯文·韦斯特 / 乔治·张 / 戴维·迈克尔·西尔弗曼 / 多米尼克·博夫 / 杰弗·卡伦 / 乔伊芙·拉文 / 斯科特·克拉斯,剧情/家庭/传记, 美国, 英语 / 粤语,117分钟,我一直记得，有人对我说：当你迈过这个坎之后，你会发现，还会有什么不可以面对的困难。
怦然心动,Flipped,No.25,2010,9.1,罗伯·莱纳,玛德琳·卡罗尔 / 卡兰·麦克奥利菲 / 瑞贝卡·德·莫妮 / 安东尼·爱德华兹 / 约翰·马奥尼 / 佩内洛普·安·米勒 / 艾丹·奎因 / 凯文·韦斯曼 / 摩根·莉莉 / 瑞安·克茨纳 / 吉莉安·普法夫 / 迈克尔·博萨 / 博·勒纳 / 杰奎琳·埃沃拉 / 泰勒·格鲁秀斯 / 艾莉·布莱恩特 / 阿什莉·泰勒 / 伊瑟尔·布罗萨德 / 科迪·霍恩 / 迈克尔·博尔顿 / 肖恩·哈珀 / 斯戴芬妮·斯考特 / 帕特丽夏·伦茨 / 马修·戈尔德 / 阿罗拉·凯瑟琳·史密斯 / 凯莉·唐纳利 / 索菲亚·撒高 / 米歇尔·梅斯默 / 斯科特·乔尔·吉兹基 / 罗德·迈尔斯 / 卡拉 帕西托 / 凯特琳·帕西托,剧情/喜剧/爱情, 美国, 英语,90分钟,我看完后也对这女孩感触特别深，她独立而勤劳，恪守自尊但又不敏感到浑身长刺，正像邦妮另外一条说的，没有那个男孩，她也会生长得很好。对于成长电影来说，它对孩子和家长都很有教育意义，不论面对挫折还是爱，它都有非常正向的可贵的价值观。
哈尔的移动城堡,ハウルの動く城,No.40,2004,9.1,宫崎骏,倍赏千惠子 / 木村拓哉 / 美轮明宏 / 我修院达也 / 神木隆之介 / 伊崎充则 / 大泉洋 / 大塚明夫 / 原田大二郎 / 加藤治子 / 都筑香弥子,动画/奇幻/冒险, 日本, 日语,119分钟,宫崎骏的片子里。老奶奶都很丑。但都是好老奶奶。
活着, ,No.30,1994,9.3,张艺谋,葛优 / 巩俐 / 姜武 / 牛犇 / 郭涛 / 张璐 / 倪大红 / 肖聪 / 董飞 / 刘天池 / 董立范 / 黄宗洛 / 刘燕瑾 / 李连义 / 杨同顺,剧情/家庭/历史, 中国大陆 / 中国香港, 汉语普通话,132分钟,年代记实录，看了让人不舒服，特别是里面的台词，虽然他们在拼尽全力的活着，可是却又显得如此可笑和悲凉。“小鸡长大了就变成了鹅，鹅长大了就变成了羊，羊长大了就变成了牛，牛长大了就是共产主义了。”
龙猫,となりのトトロ,No.24,1988,9.2,宫崎骏,日高法子 / 坂本千夏 / 糸井重里 / 岛本须美 / 北林谷荣 / 高木均 / 雨笠利幸 / 丸山裕子 / 广濑正志 / 鹫尾真知子 / 铃木玲子 / 千叶繁 / 龙田直树 / 鳕子 / 西村朋纮 / 石田光子 / 神代知衣 / 中村大树 / 水谷优子 / 平松晶子 / 大谷育江,动画/奇幻/冒险, 日本, 日语,86分钟,如果你在下雨天的车站，遇到被淋湿的妖怪，请把雨伞借给它，你会得到森林的通行证哦
乱世佳人,Gone with the Wind,No.33,1939,9.3,维克多·弗莱明 / 乔治·库克 / 山姆·伍德,费雯·丽 / 克拉克·盖博 / 奥利维娅·德哈维兰 / 托马斯·米切尔 / 芭芭拉·欧内尔 / 伊夫林·凯耶斯 / 安·卢瑟福德 / 乔治·里弗斯 / 弗莱德·克莱恩 / 海蒂·麦克丹尼尔斯 / 奥斯卡·波尔克 / 巴特弗莱·麦昆 / 维克托·乔里 / 埃弗雷特·布朗 / 霍华德·C·希克曼 / 艾丽西亚·瑞特 / 莱斯利·霍华德 / 兰德·布鲁克斯 / 卡洛尔·奈 / 劳拉·霍普·克鲁斯 / 埃迪·安德森 / 哈里·达文波特 / 利昂娜·罗伯特 / 简·达威尔 / 欧娜·满森 / 保罗·赫斯特 / 伊莎贝尔·朱尔 / 卡米·金·肯伦 / 艾瑞克·林登 / J·M·克里根 / 沃德·邦德 / 莉莲·肯布尔-库珀,剧情/爱情/历史/战争, 美国, 英语,238分钟,请上帝保佑那个真正爱你的人吧，你把他的心都揉碎了。
素媛,소원,No.34,2013,9.3,李濬益,薛景求 / 严志媛 / 李来 / 金海淑 / 金相浩 / 罗美兰 / 杨真诚 / 权泰元,剧情, 韩国, 韩语,122分钟,"""最孤独的人最亲切，受过伤的人总是笑的最灿烂，因为他们不愿让身边的人承受一样的痛苦"" 从素媛到素望，生活有阳光才有希望，可可梦是全片最治愈点，哭成傻逼。“我总想睡一觉就能回到过去，可早上起来发现，还是没有任何变化，太伤心了...以前奶奶说，哎哟要死要死了，这大概就是人活在世的意义”"
飞屋环游记,Up,No.35,2009,9.1,彼特·道格特 / 鲍勃·彼德森,爱德华·阿斯纳 / 克里斯托弗·普卢默 / 乔丹·长井 / 鲍勃·彼德森 / 德尔罗伊·林多 / 杰罗姆·兰福特 / 约翰·拉岑贝格 / 大卫·卡耶 / 艾丽·道克特 / 杰里米·利里 / 米凯·麦高万 / 丹尼·曼恩 / 唐纳德·富利洛夫 / 杰斯·哈梅尔 / 乔什·库雷 / 彼特·道格特,剧情/喜剧/动画/冒险, 美国, 英语,96分钟,最后那些最无聊的事情，才是我最怀念的。
天空之城,天空の城ラピュタ,No.44,1986,9.1,宫崎骏,田中真弓 / 横泽启子 / 初井言荣 / 寺田农 / 常田富士男 / 永井一郎 / 糸博 / 鹫尾真知子 / 神山卓三 / 安原义人 / 槐柳二 / 鳕子,动画/奇幻/冒险, 日本, 日语,125分钟,我看这部一直会哭，看了几次哭了几次，也不知道为了什么。总之，一看到手臂长长的铁皮人寂寥的站在那座城中，就控制不住了。
天堂电影院,Nuovo Cinema Paradiso,No.46,1988,9.2,朱塞佩·托纳多雷,菲利普·努瓦雷 / 雅克·贝汉 / 马克·莱昂纳蒂 / 萨瓦特利·卡西欧 / 莱奥波多·特里耶斯泰 / 安东内拉·阿蒂利 / 恩佐·卡拉瓦勒 / 艾萨·丹尼埃利 / 里奥·故罗塔 / 普佩拉·玛奇奥 / 阿格妮丝·那诺 / 塔诺·希玛罗萨 / 尼古拉·迪·平托 / 罗伯塔·蕾娜 / 尼诺·戴罗佐 / 玛丽娜·朱迪切 / 比阿特丽斯·帕姆 / 布丽吉特·佛西 / 朱塞佩·托纳多雷,剧情/爱情, 意大利 / 法国, 意大利语,155分钟,如此美丽，如此悲伤。那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
大闹天宫, ,No.54,1961,9.4,万籁鸣,邱岳峰 / 富润生 / 毕克 / 尚华 / 于鼎 / 李梓 / 刘广宁,剧情/动画/奇幻/古装, 中国大陆, 汉语普通话,113分钟,向中国早期的动画制作人员致敬！
你看起来好像很好吃,おまえうまそうだな,No.188,2010,8.9,藤森雅也,山口胜平 / 爱河里花子 / 加藤清史郎 / 原田知世 / 川岛得爱 / 折笠富美子 / 桐本拓哉 / 别所哲也 / 矢田稔 / 川村万梨阿 / 高乃丽 / 小室正幸 / 江川央生 / 志村知幸 / 胜沼纪义 / 井田国男 / 宫西达也 / 宫西美奈子,剧情/动画/儿童, 日本, 日语,90分钟,这个故事告诉我们霸王龙也是可以过肩摔的！！！！！！（小甲龙的声音怎么可以这么萌T▽T（话说这片是天然腐啊兄弟爱父子情敌友CP啥的
地球上的星星,Taare Zameen Par,No.237,2007,8.9,阿米尔·汗,达席尔·萨法瑞 / 阿米尔·汗 / 塔奈·切赫达 / 萨谢·英吉尼尔 / 蒂丝卡·乔普拉 / 维品·沙尔马 / 拉利塔·拉伊米 / 吉里贾·奥克 / 拉维·汗维尔卡尔 / 普拉蒂玛·库尔卡尼 / 梅娜·马里克 / 索纳利·萨查德夫 / 桑贾伊·达迪克 / 拉加·戈帕尔·耶尔 / 布格斯·巴尔加瓦 / 尚卡尔·萨查德夫 / M·K·拉伊纳,剧情/家庭/儿童, 印度, 印地语 / 英语,165分钟,为什么一定要成为全才，为什么一定要有出息，不会拼写有什么关系，不会系鞋带又有什么关系，你懂得什么是想象，你能画出美丽的池塘夜色吗。要相信每个人都有别人无法超越的那一面，可悲的不是有其他方面表现的比别人差，而是有些人一辈子都发现不了自己最闪光的那一面。喜欢最后一幕ishaan奔向nikumbh，脸上泛着喜悦与自信的光芒。
侧耳倾听,耳をすませば,No.124,1995,8.9,近藤喜文,本名阳子 / 小林桂树 / 高山南 / 高桥一生 / 山下容莉枝 / 室井滋 / 露口茂 / 饭冢雅弓,剧情/爱情/动画, 日本, 日语 / 英语,111分钟,"...................如果不是片尾的一句""你愿意嫁给我吗"" 我愿意打五星"
疯狂动物城,Zootopia,No.18,2016,9.2,拜伦·霍华德 / 瑞奇·摩尔 / 杰拉德·布什,金妮弗·古德温 / 杰森·贝特曼 / 伊德里斯·艾尔巴 / 珍妮·斯蕾特 / 内特·托伦斯 / 邦尼·亨特 / 唐·雷克 / 汤米·钟 / J·K·西蒙斯 / 奥克塔维亚·斯宾瑟 / 艾伦·图代克 / 夏奇拉 / 雷蒙德·S·佩尔西 / 德拉·萨巴 / 莫里斯·拉马奇 / 菲尔·约翰斯顿 / 约翰·迪·马吉欧 / 凯蒂·洛斯 / 吉塔·雷迪 / 杰西·科尔蒂 / 汤米·利斯特 / 乔希·达拉斯 / 瑞奇·摩尔 / 凯斯·索西 / 彼得·曼斯布里奇 / 拜伦·霍华德 / 杰拉德·布什 / 马克·史密斯 / 乔西·特立尼达 / 约翰·拉维尔 / 克里斯汀·贝尔 / 吉尔·科德斯 / 梅利莎·古德温,喜剧/动画/冒险, 美国, 英语 / 挪威语,109分钟(中国大陆),树懒太他妈好笑了！！那两分钟我嗓子都哑了！！卧槽！！真是太他妈好笑了！！
纵横四海,緃横四海,No.169,1991,8.8,吴宇森,周润发 / 张国荣 / 钟楚红 / 朱江 / 曾江 / 胡枫 / 唐宁 / 邓一君,剧情/喜剧/动作/犯罪, 中国香港, 粤语 / 汉语普通话 / 客家话 / 英语 / 法语,108分钟,看过多遍，完全被三个人特有的自身魅力迷住，张国荣用红酒越红外线、三个人的舞蹈，至今都是经典。还有，发哥说，伊拉克不打仗。那是91年。
狩猎,Jagten,No.95,2012,9.1,托马斯·温特伯格,麦斯·米科尔森 / 托玛斯·博·拉森 / 安妮卡·韦德科普 / 拉丝·弗格斯托姆 / 苏西·沃德 / 安妮·路易丝·哈辛 / 拉斯·兰特 / 亚历山德拉·拉帕波特,剧情, 丹麦 / 瑞典, 丹麦语 / 英语 / 波兰语,115分钟,占据道德的制高点猎杀他者，你手上可有血污！？
穿条纹睡衣的男孩,The Boy in the Striped Pajamas,No.68,2008,9.1,马克·赫尔曼,阿萨·巴特菲尔德 / 维拉·法米加 / 卡拉·霍根 / 祖萨·霍尔 / 安贝尔·比蒂 / 拉斯洛·阿隆 / 大卫·休里斯 / 理查德·约翰逊 / 谢拉·汉考克 / 伊凡·弗雷贝利 / 贝拉·费斯彼姆 / 阿提拉·埃杰德 / 鲁伯特·弗兰德 / 大卫·海曼 / 吉姆·诺顿 / 杰克·塞隆 / 米哈利·绍鲍多什 / 泽索特·萨法尔·科夫卡 / 奥索利亚·茱莉娅·帕普,剧情/战争, 英国 / 美国, 英语 / 西班牙语,94分钟,穿小短西裤衬衫背心的宝贝，眼睛像透明湖水能看穿一切的纯净。以为穿条纹睡衣的男孩会化作烟囱里的浓烟，可这么一个仓促的结局，大雨像硫酸一样砸向心脏。
闻香识女人,Scent of a Woman,No.47,1992,9.1,马丁·布莱斯特,阿尔·帕西诺 / 克里斯·奥唐纳 / 詹姆斯·瑞布霍恩 / 加布里埃尔·安瓦尔 / 菲利普·塞默·霍夫曼 / 理查德·文彻 / 布莱德利·惠特福德 / 罗谢尔·奥利弗 / Margaret Eginton / Tom Riis Farrell / Nicholas Sadler / 托德·路易斯 / 马特·史密斯 / 吉恩·坎菲尔德 / 弗兰西丝·康罗伊,剧情, 美国, 英语,157 分钟,"当我心中的正直感逐渐淡去之时,我庆幸我看到此片."
可可西里, ,No.199,2004,8.8,陆川,多布杰 / 张垒 / 奇道 / 赵雪莹 / 马占林 / 赵一穗,剧情/犯罪, 中国大陆 / 中国香港, 汉语普通话 / 藏语,85分钟(中国大陆),"“你看过磕长头的人吗？他们的脸和手特别脏，但他们的心特别干净。” 
"
饮食男女,飲食男女,No.62,1994,9.2,李安,郎雄 / 杨贵媚 / 吴倩莲 / 王渝文 / 张艾嘉 / 归亚蕾 / 赵文瑄 / 陈昭荣 / 陈捷文 / 卢金城 / 唐语谦 / 洪其德 / 王瑞 / 杜满生 / 王玨 / 陈妤 / 左正芬 / 许敬民 / 聂卓晶 / 丁仲,剧情/家庭, 中国台湾 / 美国, 汉语普通话 / 闽南语 / 湖南话,124分钟,看到最后，原来是老爸最猛~~
辛德勒的名单,Schindler's List,No.8,1993,9.5,史蒂文·斯皮尔伯格,连姆·尼森 / 本·金斯利 / 拉尔夫·费因斯 / 卡罗琳·古多尔 / 乔纳森·萨加尔 / 艾伯丝·戴维兹 / 马尔戈萨·格贝尔 / 马克·伊瓦涅 / 碧翠斯·马科拉 / 安德烈·瑟韦林 / 弗里德里希·冯·图恩 / 克齐斯茨托夫·拉夫特 / 诺伯特·魏塞尔 / 维斯瓦夫·科马萨,剧情/历史/战争, 美国, 英语 / 希伯来语 / 德语 / 波兰语,195分钟,出门的时候，看到灯火辉煌的城市，会觉得一切幸福美好都是罪恶。。。
海豚湾,The Cove,No.76,2009,9.3,路易·西霍尤斯,Richard O'Barry / 路易·西霍尤斯 / Hardy Jones / Michael Illiff / Joji Morishita / Ian Campbell / Paul Watson / Doug DeMaster / Dave Rastovich / Charles Hambleton / Hayato Sakurai / Mandy-Rae Cruikshank / Kirk Krack / 伊莎贝尔·卢卡斯 / 海顿·潘妮蒂尔,纪录片, 美国, 英语 / 日语,92分钟,我想知道的是 大地村那里的海豚屠宰场现在怎样？关闭了没有？当地的渔民是否还以屠宰海豚谋生？
借东西的小人阿莉埃蒂,借りぐらしのアリエッティ,No.125,2010,8.9,米林宏昌,志田未来 / 神木隆之介 / 树木希林 / 三浦友和 / 大竹忍 / 竹下景子 / 藤原龙也,动画/奇幻/冒险, 日本, 日语,94分钟,“你永远在我心中，我永远都不会忘记你。”这是一部难得一见的富含诗意和伤感的动画片。细节和人设很棒，赏心悦目；配乐尤其出色，但叙事太过苍白匆忙。最后的轻轻告别，两人往后都会有自己人生，走自己的路，但曾经那段美好依旧会沉淀为一辈子的记忆。★★★★
春光乍泄,春光乍洩,No.86,1997,9.0,王家卫,张国荣 / 梁朝伟 / 张震 / 格利高里·戴顿,剧情/爱情/同性, 中国香港 / 日本 / 韩国, 粤语 / 汉语普通话 / 西班牙语,96分钟,光棍节给自己准备的电影《春光乍泄》，根本就是找虐。。。。黎耀辉简直是八心八箭4个9的纯GAY，极品中的极品，GAY中的爱马仕，GAY中的劳力士，GAY中的劳斯莱斯，上下5000年不可多得的尤物！！！我想变男人要这样的男朋友啊啊啊啊
阿甘正传,Forrest Gump,No.3,1994,9.5,罗伯特·泽米吉斯,汤姆·汉克斯 / 罗宾·怀特 / 加里·西尼斯 / 麦凯尔泰·威廉逊 / 莎莉·菲尔德 / 海利·乔·奥斯蒙 / 迈克尔·康纳·亨弗里斯 / 哈罗德·G·赫瑟姆 / 山姆·安德森 / 伊俄涅·M·特雷奇 / 彼得·道博森 / 希博汗·法隆 / 伊丽莎白·汉克斯 / 汉娜·豪尔 / 克里斯托弗·琼斯 / 罗布·兰德里 / 杰森·麦克奎尔 / 桑尼·施罗耶 / 艾德·戴维斯 / 丹尼尔C.斯瑞派克 / 大卫·布里斯宾 / 德博拉·麦克蒂尔 / 艾尔·哈林顿 / 阿非莫·奥米拉 / 约翰·沃德斯塔德 / 迈克尔·伯吉斯 / 埃里克·安德伍德 / 拜伦·明斯 / 斯蒂芬·布吉格沃特 / 约翰·威廉·高尔特 / 希拉里·沙普兰 / 伊莎贝尔·罗斯 / 理查德·达历山德罗 / 迪克·史迪威 / 迈克尔-杰斯 / 杰弗里·布莱克 / 瓦妮莎·罗斯 / 迪克·卡维特 / 马拉·苏查雷特扎 / 乔·阿拉斯奇 / W·本森·泰瑞,剧情/爱情, 美国, 英语,142分钟,羡慕珍妮，不管她多么叛逆、落魄、堕落，永远有阿甘在等她回来
肖申克的救赎,The Shawshank Redemption,No.1,1994,9.7,弗兰克·德拉邦特,蒂姆·罗宾斯 / 摩根·弗里曼 / 鲍勃·冈顿 / 威廉姆·赛德勒 / 克兰西·布朗 / 吉尔·贝罗斯 / 马克·罗斯顿 / 詹姆斯·惠特摩 / 杰弗里·德曼 / 拉里·布兰登伯格 / 尼尔·吉恩托利 / 布赖恩·利比 / 大卫·普罗瓦尔 / 约瑟夫·劳格诺 / 祖德·塞克利拉 / 保罗·麦克兰尼 / 芮妮·布莱恩 / 阿方索·弗里曼 / V·J·福斯特 / 弗兰克·梅德拉诺 / 马克·迈尔斯 / 尼尔·萨默斯 / 耐德·巴拉米 / 布赖恩·戴拉特 / 唐·麦克马纳斯,剧情/犯罪, 美国, 英语,142分钟,关于希望最强有力的注释。
无人知晓,誰も知らない,No.119,2004,9.1,是枝裕和,柳乐优弥 / 北浦爱 / 木村飞影 / 清水萌萌子 / 韩英惠 / 江原由希子 / 串田和美 / 冈元夕纪子 / 楯隆子 / 加濑亮 / 村野友希 / 田中庆太 / 木村佑一 / 远藤宪一 / 寺岛进 / 平泉成,剧情, 日本, 日语,141分钟,家中早已经没有了妈妈，生活早已经很拮据，水电早已经停了，今天吃过的泡面汤要留作明天拌饭，喜爱画画就画在水电停用通知单上，从公园偷水饮用，把摔死的妹妹埋掉......这一切，都没有人知道
三傻大闹宝莱坞,3 Idiots,No.14,2009,9.2,拉吉库马尔·希拉尼,阿米尔·汗 / 卡琳娜·卡普尔 / 马达范 / 沙尔曼·乔希 / 奥米·瓦依达 / 博曼·伊拉尼 / 莫娜·辛格 / 拉杰夫·拉宾德拉纳特安,剧情/喜剧/爱情/歌舞, 印度, 印地语 / 乌尔都语 / 英语,171分钟(印度),太给力了，有史以来最励志的电影。
射雕英雄传之东成西就,射鵰英雄傳之東成西就,No.136,1993,8.7,刘镇伟,梁朝伟 / 林青霞 / 张国荣 / 叶玉卿 / 张学友 / 王祖贤 / 张曼玉 / 梁家辉 / 刘嘉玲 / 钟镇涛 / 鲍起静,喜剧/奇幻/武侠/古装, 中国香港, 粤语,113分钟(香港),张学友让梁朝伟杀他那段，笑翻了
源代码,Source Code,No.213,2011,8.5,邓肯·琼斯,杰克·吉伦哈尔 / 维拉·法米加 / 米歇尔·莫纳汉 / 杰弗里·怀特 / 拉塞尔·皮特斯 / 詹姆斯·A·伍兹 / 迈克尔·阿登 / 乔·柯布登  / 卡斯·安瓦尔,科幻/悬疑/惊悚, 美国 / 加拿大, 英语,93分钟,这部电影告诉我们，最重要的不是想出一套没有硬伤的“科幻”元素，而是讲一个好故事。
恐怖游轮,Triangle,No.194,2009,8.5,克里斯托弗·史密斯,梅利莎·乔治 / 利亚姆·海姆斯沃斯 / 迈克尔·多曼 / 瑞秋·卡帕尼 / 艾玛·朗 / 亨利·尼克松 / 约书亚·麦基弗,剧情/悬疑/惊悚, 英国 / 澳大利亚, 英语,99 分钟,一点细节都不浪费多余的精巧结构型电影～把循环轮回的结构发挥到一个及至～女主的美腿穿梭在N次的命运交汇过程中～层层推进又把细节先后安排滴水不露～导演功力真的很厉害～为结构型命运电影又增加了一个辉煌～
鬼子来了, ,No.42,2000,9.3,姜文,姜文 / 香川照之 / 袁丁 / 姜宏波 / 丛志军 / 李丛喜 / 泽田谦也 / 李海滨 / 蔡卫东 / 陈述 / 陈莲梅 / 史建全 / 陈强 / 宫路佳具 / 吴大维 / 梶冈润一 / 石山雄大 / 述平 / 姜武,剧情/喜剧, 中国大陆, 汉语普通话 / 日语 / 唐山话,139分钟,中国农民是善良的，是好人。同时却也是愚笨的，是软弱的。软弱往往导致善良变质成为受欺。
血钻,Blood Diamond,No.223,2006,8.7,爱德华·兹威克,莱昂纳多·迪卡普里奥 / 杰曼·翰苏 / 詹妮弗·康纳利 / 阿诺德·沃斯洛 / 大卫·哈雷伍德 / 吉米·米斯特雷 / 麦克·辛 / 史蒂芬·柯林斯,剧情/惊悚/冒险, 美国 / 德国 / 英国, 英语 / 门德语 / 南非语,143 分钟,钻石，华丽的毒品。 迪卡普里奥，自从无间行者开始已让越来越多的人重新认识他，并知道泰坦尼克之后他一直在努力。 ★★★★
上帝之城,Cidade de Deus,No.161,2002,9.0,费尔南多·梅里尔斯 / 卡迪亚·兰德,亚历桑德雷·罗德里格斯 / 莱安德鲁·菲尔米诺 / 菲利佩·哈根森 / 道格拉斯·席尔瓦 / 乔纳森·哈根森 / 马修斯·纳克加勒 / 索·豪黑 / 艾莉丝·布拉加,剧情/犯罪, 巴西 / 法国, 葡萄牙语,130分钟,li'l的发小同伙眼镜benny太可爱了...五官一点都不像典型黑人，笑起来还有甜甜的酒窝..迄今我看过的最好的拉丁电影
色，戒, ,No.190,2007,8.6,李安,梁朝伟 / 汤唯 / 陈冲 / 王力宏 / 庹宗华 / 朱芷莹 / 高英轩 / 柯宇纶 / 阮德锵 / 钱嘉乐 / 苏岩 / 何赛飞 / 宋茹惠 / 樊光耀 / 卢燕 / 刘洁 / 余娅 / 王琳 / 王侃 / 竹下明子 / 阿努潘·凯尔,剧情/爱情/情色, 中国台湾 / 中国大陆 / 美国 / 中国香港, 汉语普通话 / 上海话 / 英语 / 粤语 / 日语 / 印地语,158分钟,从头笑到尾 抱歉。。。王力宏的出演简直是本片最大的灾难。。。
小森林,冬春篇 リトル・フォレスト 冬・春,No.121,2015,9.0,森淳一,桥本爱 / 三浦贵大 / 松冈茉优 / 温水洋一 / 桐岛加恋,剧情, 日本, 日语,120分钟,“她这么辛苦种田就是为了每天这么吃啊？”“对啊，人生不就是这样吗！”
萤火之森,蛍火の杜へ,No.127,2011,8.9,大森贵弘,佐仓绫音 / 内山昂辉 / 辻亲八 / 山本兼平 / 后藤弘树 / 今井麻美,剧情/爱情/动画/奇幻, 日本, 日语,45分钟,郁闷死了 守着一颗白白嫩嫩的大白菜多少年细心栽培没舍得吃，最后这颗大白菜被猪给拱了的感觉 (☍﹏⁰)
